Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
3841048133,"Jul 30, 2020, 11:07:15 PM",Evening Ride,Ride,,3904,25.02,16,false,specialized rockhopper pro 1x 2019,activities/3841048133.gpx,,14.0,3904.0,3584.0,25019.5,12.199999809265137,6.980887413024902,112.18904876708984,126.68904876708984,44.099998474121094,82.0,8.699999809265137,-0.05795479565858841,,,,,,124.26311492919922,,208.46511840820312,833.0599975585938,,,16.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3856153638,"Jul 31, 2020, 11:13:01 PM",Evening Ride,Ride,,1429,6.34,9,false,specialized rockhopper pro 1x 2019,activities/3856153638.gpx,,14.0,1429.0,993.0,6348.0,10.300000190734863,6.392749309539795,5.67714262008667,17.477142333984375,63.599998474121094,82.0,7.800000190734863,-0.18588532507419586,,,,,,138.7211456298828,,179.42799377441406,198.66177368164062,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3856154588,"Aug 2, 2020, 11:15:10 PM",Evening Ride,Ride,When you avoid the puddles 🌧️ but get splashed by a car ,2939,18.68,3,false,specialized rockhopper pro 1x 2019,activities/3856154588.gpx,,14.0,2939.0,2751.0,18686.599609375,10.800000190734863,6.792657375335693,83.072021484375,73.37200164794922,44.099998474121094,73.80000305175781,17.700000762939453,0.05190885439515114,,,,,,72.46928405761719,,199.77171325683594,612.7736206054688,,,3.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3860895165,"Aug 3, 2020, 10:28:10 PM",Evening Ride,Ride,,721,4.21,0,false,specialized rockhopper pro 1x 2019,activities/3860895165.gpx,,14.0,721.0,721.0,4215.0,12.5,5.8460469245910645,0.0,16.5,63.70000076293945,82.0999984741211,8.100000381469727,-0.39145907759666443,,,,,,80.31287384033203,,173.1227569580078,139.1759796142578,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3860895188,"Aug 4, 2020, 12:38:18 AM",Evening Ride,Ride,,1400,10.08,2,false,specialized rockhopper pro 1x 2019,activities/3860895188.gpx,,14.0,1400.0,1400.0,10079.7998046875,11.199999809265137,7.199857234954834,19.024999618530273,17.325000762939453,63.5,76.4000015258789,9.0,0.016865413635969162,,,,,,81.63988494873047,,224.7962646484375,350.906982421875,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3870935015,"Aug 5, 2020, 10:13:58 PM",Roam around Ottawa and Gatineau 🔥,Ride,"",8875,55.14,,false,specialized rockhopper pro 1x 2019,activities/3870935015.gpx,,14.0,8875.0,7915.0,55141.0,13.5,6.96664571762085,222.81689453125,235.81700134277344,44.099998474121094,82.0,44.79999923706055,-0.023575924336910248,,,,,,,,210.48416137695312,1857.568603515625,,,,,,,,,6.0,,,,,0.0,208.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3875738736,"Aug 6, 2020, 10:45:17 PM",Evening hour,Ride,,3456,22.18,,false,specialized rockhopper pro 1x 2019,activities/3875738736.gpx,,14.0,3456.0,3338.0,22187.599609375,12.100000381469727,6.646974086761475,96.00396728515625,112.60396575927734,44.099998474121094,82.0,20.399999618530273,-0.07481656223535538,,,,,,,,189.22369384765625,704.2659912109375,,,,,,,,,3.0,,,,,0.0,27.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3880233408,"Aug 8, 2020, 12:23:44 AM",Quick sprint,Ride,,157,1.30,,false,specialized rockhopper pro 1x 2019,activities/3880233408.gpx,,14.0,157.0,157.0,1303.300048828125,10.600000381469727,8.301274299621582,3.0399999618530273,11.739999771118164,56.79999923706055,67.69999694824219,5.099999904632568,-0.6675362586975098,,,,,,,,257.04486083984375,44.99699020385742,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3885072936,"Aug 8, 2020, 2:46:45 PM",Group ride with the pals 🔥100km achieved,Ride,"",30642,109.43,,false,specialized rockhopper pro 1x 2019,activities/3885072936.gpx,,14.0,30642.0,20621.0,109438.0,12.699999809265137,5.307114124298096,524.6647338867188,523.6649780273438,44.099998474121094,101.19999694824219,33.29999923706055,0.0009137594024650753,,,,,,,,157.40914916992188,3619.213134765625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3894882831,"Aug 10, 2020, 11:38:17 PM",Evening Ride,Ride,,1370,7.68,,false,specialized rockhopper pro 1x 2019,activities/3894882831.gpx,,14.0,1370.0,1296.0,7679.7001953125,9.899999618530273,5.925694465637207,48.8927001953125,35.59269714355469,71.4000015258789,98.69999694824219,9.600000381469727,0.1731838434934616,,,,,,,,182.07449340820312,263.10491943359375,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3895472472,"Aug 5, 2020, 10:10:16 PM",Evening Ride,Ride,,13755,56.95,15,false,specialized rockhopper pro 1x 2019,activities/3895472472.gpx,,14.0,13755.0,11346.0,56957.3984375,13.600000381469727,5.020042419433594,234.26022338867188,234.46022033691406,44.099998474121094,82.19999694824219,32.0,-0.0003511396353133023,,,,,,87.19847106933594,,187.1761474609375,2367.926025390625,,,15.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3900063566,"Aug 11, 2020, 11:40:03 PM",Evening ride,Ride,,3750,13.39,,false,specialized rockhopper pro 1x 2019,activities/3900063566.gpx,,14.0,3750.0,1907.0,13391.599609375,10.5,7.0223388671875,82.53785705566406,84.83786010742188,71.4000015258789,98.5999984741211,25.299999237060547,-0.017174946144223213,,,,,,,,217.29103088378906,462.0270080566406,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3904805292,"Aug 12, 2020, 10:36:26 PM",Evening ride,Ride,,4408,23.15,,false,specialized rockhopper pro 1x 2019,activities/3904805292.gpx,,14.0,4408.0,3798.0,23156.0,12.600000381469727,6.096893310546875,94.85911560058594,99.95911407470703,44.099998474121094,76.30000305175781,10.800000190734863,-0.022024529054760933,,,,,,,,178.50531005859375,755.928955078125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
